filename,width,height,class,xmin,ymin,xmax,ymax
87ed6ed8bd34f92dfce3fcc7059911b6027388ce.png,300,300,egg,89,55,157,137
87ed6ed8bd34f92dfce3fcc7059911b6027388ce.png,300,300,egg,174,83,236,167
87ed6ed8bd34f92dfce3fcc7059911b6027388ce.png,300,300,egg,144,168,225,239
87ed6ed8bd34f92dfce3fcc7059911b6027388ce.png,300,300,egg,58,164,125,254
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,48,87,130,153
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,192,94,268,178
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,21,149,90,231
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,86,187,154,263
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,169,192,230,279
889b665aa3033cf301c9c37290c90ee6efc6ae60.png,300,300,egg,127,104,190,192
049477c4b436271992f6e266d82cf26f3f3b017f.png,300,300,egg,16,137,84,223
049477c4b436271992f6e266d82cf26f3f3b017f.png,300,300,egg,73,99,141,178
049477c4b436271992f6e266d82cf26f3f3b017f.png,300,300,egg,113,161,197,225
049477c4b436271992f6e266d82cf26f3f3b017f.png,300,300,egg,69,204,138,278
2c8e32ddb78055185cbf0950457295d8087d1ea5.png,300,300,egg,106,12,189,85
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,80,4,161,73
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,162,12,236,93
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,129,82,201,162
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,61,126,134,209
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,176,187,256,262
8269cc133f915b083f292a27b8bb5eae4214c61c.png,300,300,egg,102,188,177,270
a0dbab566e4b7a38b8387e6f796544c904768597.png,300,300,egg,148,157,234,219
a0dbab566e4b7a38b8387e6f796544c904768597.png,300,300,egg,183,74,247,156
800432e20542375929e4112daf50363499c3da94.png,300,300,egg,25,73,108,145
800432e20542375929e4112daf50363499c3da94.png,300,300,egg,108,82,193,150
800432e20542375929e4112daf50363499c3da94.png,300,300,egg,65,131,134,218
a4575b62cdbd96220bba22f368a3720a3a1fd247.png,300,300,egg,53,113,121,198
a4575b62cdbd96220bba22f368a3720a3a1fd247.png,300,300,egg,122,118,207,185
a4575b62cdbd96220bba22f368a3720a3a1fd247.png,300,300,egg,179,50,252,132
a4575b62cdbd96220bba22f368a3720a3a1fd247.png,300,300,egg,109,191,196,260
5f96fcf18f87dc8ff6c166848e5ba4ad8172d96e.png,300,300,bunny,102,109,172,180
a1e92d7a47f589f980355009a69189ecf5b83601.png,300,300,badge,141,143,216,215
00f63b4989eeedcd390277d831905fa7a991bced.png,300,300,egg,54,96,134,166
00f63b4989eeedcd390277d831905fa7a991bced.png,300,300,egg,116,58,205,124
00f63b4989eeedcd390277d831905fa7a991bced.png,300,300,egg,191,114,276,185
00f63b4989eeedcd390277d831905fa7a991bced.png,300,300,egg,97,169,167,255
91d2c5871ce61b63a9eac5b7271dc94af58d0a7d.png,300,300,egg,31,113,98,177
91d2c5871ce61b63a9eac5b7271dc94af58d0a7d.png,300,300,egg,97,137,178,203
91d2c5871ce61b63a9eac5b7271dc94af58d0a7d.png,300,300,egg,142,72,224,138
91d2c5871ce61b63a9eac5b7271dc94af58d0a7d.png,300,300,egg,50,186,123,262
91d2c5871ce61b63a9eac5b7271dc94af58d0a7d.png,300,300,egg,123,206,195,274
35b66ead5267a7600495d1427e69492861f0a25f.png,300,300,egg,139,51,218,124
a818ec6089efcb24cb961c7ca18c1c51d2281c69.png,300,300,egg,82,164,158,239
a818ec6089efcb24cb961c7ca18c1c51d2281c69.png,300,300,egg,167,114,248,173
3ca286746cce51a35ef3d5b318abbab87fef1fc7.png,300,300,egg,23,44,90,130
3ca286746cce51a35ef3d5b318abbab87fef1fc7.png,300,300,egg,19,132,84,218
3ca286746cce51a35ef3d5b318abbab87fef1fc7.png,300,300,egg,79,89,143,176
3ca286746cce51a35ef3d5b318abbab87fef1fc7.png,300,300,egg,146,100,206,187
3ca286746cce51a35ef3d5b318abbab87fef1fc7.png,300,300,egg,207,95,282,172
d6742e2a705188b6240409ded754b0ee99115368.png,300,300,egg,75,56,144,140
d6742e2a705188b6240409ded754b0ee99115368.png,300,300,egg,57,141,135,216
d6742e2a705188b6240409ded754b0ee99115368.png,300,300,egg,184,26,258,108
d6742e2a705188b6240409ded754b0ee99115368.png,300,300,egg,193,178,268,262
0d78e5325a7a00653ad7ec7d2bf56d8f02c26c5c.png,300,300,lock,86,156,185,255
d31fc553f86dee3b96126c96a1272eb07d53957b.png,300,300,egg,27,51,95,138
d31fc553f86dee3b96126c96a1272eb07d53957b.png,300,300,egg,148,89,232,156
d31fc553f86dee3b96126c96a1272eb07d53957b.png,300,300,egg,186,156,250,238
d31fc553f86dee3b96126c96a1272eb07d53957b.png,300,300,egg,89,164,156,245
cd101664af9ceccf575d87d534dfb813c5bab704.png,300,300,egg,39,49,121,115
cd101664af9ceccf575d87d534dfb813c5bab704.png,300,300,egg,121,26,186,103
cd101664af9ceccf575d87d534dfb813c5bab704.png,300,300,egg,140,106,223,174
cd101664af9ceccf575d87d534dfb813c5bab704.png,300,300,egg,119,176,198,237
cd101664af9ceccf575d87d534dfb813c5bab704.png,300,300,egg,14,158,96,224
11bca58e2f5faebae929b6b640d79648fb686a7d.png,300,300,egg,60,120,133,201
11bca58e2f5faebae929b6b640d79648fb686a7d.png,300,300,egg,140,105,210,189
11bca58e2f5faebae929b6b640d79648fb686a7d.png,300,300,egg,174,48,242,119
11bca58e2f5faebae929b6b640d79648fb686a7d.png,300,300,egg,212,101,282,188
11bca58e2f5faebae929b6b640d79648fb686a7d.png,300,300,egg,173,182,243,249
2712d44cd0d0257945f15d7cf602555efea16373.png,300,300,ball,11,52,158,198
21621c1efedd0a62de355822e416f3a3e04ca2fa.png,300,300,lock,46,84,159,161
459ff84dac2b967122382906bc99a406d0fae89c.png,300,300,egg,125,126,200,195
459ff84dac2b967122382906bc99a406d0fae89c.png,300,300,egg,160,62,226,137
459ff84dac2b967122382906bc99a406d0fae89c.png,300,300,egg,215,108,300,173
459ff84dac2b967122382906bc99a406d0fae89c.png,300,300,egg,180,168,255,248
2caf7a2f54e8f0dcdf03c8006537bd4694ad60dd.png,300,300,egg,14,76,92,146
2caf7a2f54e8f0dcdf03c8006537bd4694ad60dd.png,300,300,egg,116,12,187,93
2caf7a2f54e8f0dcdf03c8006537bd4694ad60dd.png,300,300,egg,177,56,252,128
2caf7a2f54e8f0dcdf03c8006537bd4694ad60dd.png,300,300,egg,140,129,221,203
2caf7a2f54e8f0dcdf03c8006537bd4694ad60dd.png,300,300,egg,80,159,156,233
b01e966010012652708e15b7c3e018f3cc67ce4d.png,300,300,badge,114,153,186,226
054965052eef4f06358e89788608c65f71391729.png,300,300,egg,17,165,86,248
607480adf89a3d006d25dcf526c9d7b215e4f0b7.png,300,300,egg,109,140,177,221
b7d6225a2badfd71fea45b799c65f1f90c50192a.png,300,300,bunny,109,130,179,200
327fea9390c0c361b81aa5412a5b4df4cac217db.png,300,300,egg,64,123,144,195
327fea9390c0c361b81aa5412a5b4df4cac217db.png,300,300,egg,132,164,202,251
28f151fe405cf7ea99d7365895cfea17b0572340.png,300,300,egg,53,74,133,150
28f151fe405cf7ea99d7365895cfea17b0572340.png,300,300,egg,138,133,220,198
b2a62b6047dea5090fbe8c175f453b6eceb45d6b.png,300,300,egg,98,166,166,247
b2a62b6047dea5090fbe8c175f453b6eceb45d6b.png,300,300,egg,129,95,198,163
b2a62b6047dea5090fbe8c175f453b6eceb45d6b.png,300,300,egg,199,91,284,157
b2a62b6047dea5090fbe8c175f453b6eceb45d6b.png,300,300,egg,118,15,184,94
1693265baf88afffb0c107ed3c708e67a35a2f0f.png,300,300,egg,13,75,98,144
1693265baf88afffb0c107ed3c708e67a35a2f0f.png,300,300,egg,119,65,200,128
1693265baf88afffb0c107ed3c708e67a35a2f0f.png,300,300,egg,141,129,223,194
1693265baf88afffb0c107ed3c708e67a35a2f0f.png,300,300,egg,123,198,186,281
